SET_NUM,UNIQUE_PARTS_IN_SET,TOTAL_PARTS_IN_SET,UNIQUENESS_RATIO,SET_YEAR,THEME_NAME
9871-1,0,7,0.00,1992,Technic
9853-1,0,7,0.00,1992,Technic
9857-1,0,24,0.00,1992,Technic
42002-1,0,68,0.00,2013,Technic
9610-1,4,44,0.09,1993,Technic
9826-1,0,1,0.00,1994,Technic
9794-1,0,165,0.00,2003,Technic
42063-1,1,112,0.01,2017,Technic
9964-1,0,4,0.00,1994,Technic
9615-1,0,3,0.00,1997,Technic
1317-1,0,1,0.00,1987,Technic
1092-1,2,76,0.03,1986,Technic
1322-1,0,3,0.00,1987,Technic
9892-1,0,1,0.00,1995,Technic
1032-1,1,46,0.02,1985,Technic
9971-1,0,3,0.00,1994,Technic
9898-1,0,1,0.00,1996,Technic
9965-1,0,2,0.00,1994,Technic
9974-1,0,15,0.00,1994,Technic
9701-1,9,139,0.06,1995,Technic
9855-1,0,6,0.00,1992,Technic
42060-1,0,98,0.00,2017,Technic
9937-1,0,2,0.00,1998,Technic
9617-1,6,40,0.15,1997,Technic
9633-1,6,65,0.09,1999,Technic
1321-1,0,2,0.00,1987,Technic
1325-1,0,3,0.00,1987,Technic
1339-1,0,3,0.00,1987,Technic
9649-1,0,105,0.00,2003,Technic
42023-1,0,151,0.00,2014,Technic
42048-1,1,92,0.01,2016,Technic
42058-1,2,58,0.03,2017,Technic
9604-1,5,35,0.14,1992,Technic
1336-1,1,1,1.00,1985,Technic
9961-1,0,4,0.00,1994,Technic
9972-1,0,15,0.00,1994,Technic
9786-1,0,68,0.00,2003,Technic
42027-1,0,54,0.00,2014,Technic
42029-1,0,153,0.00,2014,Technic
42011-1,0,55,0.00,2013,Technic
9823-1,0,7,0.00,1994,Technic
9870-1,0,6,0.00,1992,Technic
1324-1,0,4,0.00,1985,Technic
9867-1,0,1,0.00,1992,Technic
9864-1,0,1,0.00,1992,Technic
41999-1,2,190,0.01,2013,Technic
1168-1,0,1,0.00,1986,Technic
9889-1,0,1,0.00,1995,Technic
9702-1,0,71,0.00,1993,Technic
9753-1,0,5,0.00,1993,Technic
9707-1,0,83,0.00,1996,Technic
9854-1,0,2,0.00,1992,Technic
9723-1,5,119,0.04,2000,Technic
9943-1,0,9,0.00,1998,Technic
